MethodID,Step,Operator,Success,ParentRuntime(ms),ChildRuntime(ms),Reward
1,1,MatchedSwapStatement,false,61.00,-1.00,0.0000
1,2,SwapStatement,false,61.00,-1.00,0.0000
1,3,MatchedDeleteStatement,false,61.00,-1.00,0.0000
1,4,MoveStatement,false,61.00,-1.00,0.0000
1,5,ReplaceStatement,false,61.00,-1.00,0.0000
1,6,BinaryOperatorReplacement,false,61.00,-1.00,0.0000
1,7,MatchedReplaceStatement,false,61.00,-1.00,0.0000
1,8,DeleteStatement,false,61.00,-1.00,0.0000
1,9,CopyStatement,false,61.00,-1.00,0.0000
1,10,UnaryOperatorReplacement,true,61.00,62.00,0.9839
1,11,MatchedCopyStatement,false,61.00,-1.00,0.0000
1,12,UnaryOperatorReplacement,true,61.00,62.00,0.9839
1,13,UnaryOperatorReplacement,true,61.00,60.00,1.0167
1,14,UnaryOperatorReplacement,true,60.00,61.00,0.9836
1,15,DeleteStatement,false,60.00,-1.00,0.0000
1,16,CopyStatement,false,60.00,-1.00,0.0000
1,17,ReplaceStatement,false,60.00,-1.00,0.0000
1,18,SwapStatement,false,60.00,-1.00,0.0000
1,19,MoveStatement,false,60.00,-1.00,0.0000
1,20,MatchedDeleteStatement,false,60.00,-1.00,0.0000
1,21,MatchedCopyStatement,false,60.00,-1.00,0.0000
1,22,MatchedReplaceStatement,false,60.00,-1.00,0.0000
1,23,MatchedSwapStatement,false,60.00,-1.00,0.0000
1,24,BinaryOperatorReplacement,false,60.00,-1.00,0.0000
1,25,UnaryOperatorReplacement,true,60.00,61.00,0.9836
1,26,UnaryOperatorReplacement,true,60.00,62.00,0.9677
1,27,UnaryOperatorReplacement,true,60.00,64.00,0.9375
1,28,UnaryOperatorReplacement,true,60.00,63.00,0.9524
1,29,UnaryOperatorReplacement,true,60.00,85.00,0.7059
1,30,DeleteStatement,false,60.00,-1.00,0.0000
1,31,CopyStatement,true,60.00,62.00,0.9677
1,32,ReplaceStatement,false,60.00,-1.00,0.0000
1,33,SwapStatement,false,60.00,-1.00,0.0000
1,34,MoveStatement,false,60.00,-1.00,0.0000
1,35,MatchedDeleteStatement,false,60.00,-1.00,0.0000
1,36,MatchedCopyStatement,false,60.00,-1.00,0.0000
1,37,MatchedReplaceStatement,true,60.00,60.00,1.0000
1,38,MatchedSwapStatement,true,60.00,62.00,0.9677
1,39,BinaryOperatorReplacement,false,60.00,-1.00,0.0000
1,40,MatchedReplaceStatement,false,60.00,-1.00,0.0000
1,41,CopyStatement,false,60.00,-1.00,0.0000
1,42,MatchedSwapStatement,false,60.00,-1.00,0.0000
1,43,UnaryOperatorReplacement,true,60.00,60.00,1.0000
1,44,UnaryOperatorReplacement,true,60.00,62.00,0.9677
1,45,UnaryOperatorReplacement,true,60.00,61.00,0.9836
1,46,UnaryOperatorReplacement,true,60.00,62.00,0.9677
1,47,UnaryOperatorReplacement,true,60.00,63.00,0.9524
1,48,UnaryOperatorReplacement,true,60.00,62.00,0.9677
1,49,UnaryOperatorReplacement,true,60.00,60.00,1.0000
1,50,UnaryOperatorReplacement,true,60.00,60.00,1.0000
1,51,MatchedReplaceStatement,false,60.00,-1.00,0.0000
1,52,CopyStatement,false,60.00,-1.00,0.0000
1,53,MatchedSwapStatement,false,60.00,-1.00,0.0000
1,54,UnaryOperatorReplacement,true,60.00,59.00,1.0169
1,55,UnaryOperatorReplacement,true,59.00,59.00,1.0000
1,56,DeleteStatement,false,59.00,-1.00,0.0000
1,57,ReplaceStatement,false,59.00,-1.00,0.0000
1,58,SwapStatement,false,59.00,-1.00,0.0000
1,59,MoveStatement,false,59.00,-1.00,0.0000
1,60,MatchedDeleteStatement,false,59.00,-1.00,0.0000
1,61,MatchedCopyStatement,false,59.00,-1.00,0.0000
1,62,BinaryOperatorReplacement,false,59.00,-1.00,0.0000
1,63,UnaryOperatorReplacement,true,59.00,60.00,0.9833
1,64,UnaryOperatorReplacement,true,59.00,61.00,0.9672
1,65,UnaryOperatorReplacement,true,59.00,65.00,0.9077
1,66,UnaryOperatorReplacement,true,59.00,63.00,0.9365
1,67,UnaryOperatorReplacement,true,59.00,62.00,0.9516
1,68,UnaryOperatorReplacement,true,59.00,61.00,0.9672
1,69,UnaryOperatorReplacement,true,59.00,63.00,0.9365
1,70,UnaryOperatorReplacement,true,59.00,68.00,0.8676
1,71,UnaryOperatorReplacement,true,59.00,62.00,0.9516
1,72,UnaryOperatorReplacement,true,59.00,64.00,0.9219
1,73,MatchedReplaceStatement,false,59.00,-1.00,0.0000
1,74,CopyStatement,false,59.00,-1.00,0.0000
1,75,MatchedSwapStatement,false,59.00,-1.00,0.0000
1,76,UnaryOperatorReplacement,true,59.00,60.00,0.9833
1,77,UnaryOperatorReplacement,true,59.00,60.00,0.9833
1,78,UnaryOperatorReplacement,true,59.00,60.00,0.9833
1,79,UnaryOperatorReplacement,true,59.00,69.00,0.8551
1,80,DeleteStatement,false,59.00,-1.00,0.0000
1,81,ReplaceStatement,false,59.00,-1.00,0.0000
1,82,SwapStatement,false,59.00,-1.00,0.0000
1,83,MoveStatement,false,59.00,-1.00,0.0000
1,84,MatchedDeleteStatement,false,59.00,-1.00,0.0000
1,85,MatchedCopyStatement,false,59.00,-1.00,0.0000
1,86,BinaryOperatorReplacement,false,59.00,-1.00,0.0000
1,87,UnaryOperatorReplacement,true,59.00,60.00,0.9833
1,88,UnaryOperatorReplacement,true,59.00,61.00,0.9672
1,89,UnaryOperatorReplacement,true,59.00,61.00,0.9672
1,90,UnaryOperatorReplacement,true,59.00,60.00,0.9833
1,91,UnaryOperatorReplacement,true,59.00,62.00,0.9516
1,92,UnaryOperatorReplacement,true,59.00,60.00,0.9833
1,93,UnaryOperatorReplacement,true,59.00,61.00,0.9672
1,94,UnaryOperatorReplacement,true,59.00,63.00,0.9365
1,95,UnaryOperatorReplacement,true,59.00,60.00,0.9833
1,96,UnaryOperatorReplacement,true,59.00,61.00,0.9672
1,97,UnaryOperatorReplacement,true,59.00,60.00,0.9833
1,98,UnaryOperatorReplacement,true,59.00,62.00,0.9516
1,99,UnaryOperatorReplacement,true,59.00,64.00,0.9219
2,1,CopyStatement,false,12.00,-1.00,0.0000
2,2,MoveStatement,false,12.00,-1.00,0.0000
2,3,DeleteStatement,false,12.00,-1.00,0.0000
2,4,MatchedReplaceStatement,false,12.00,-1.00,0.0000
2,5,SwapStatement,false,12.00,-1.00,0.0000
2,6,MatchedCopyStatement,false,12.00,-1.00,0.0000
2,7,ReplaceStatement,false,12.00,-1.00,0.0000
2,8,MatchedDeleteStatement,true,12.00,12.00,1.0000
2,9,BinaryOperatorReplacement,false,12.00,-1.00,0.0000
2,10,MatchedSwapStatement,false,12.00,-1.00,0.0000
2,11,UnaryOperatorReplacement,false,12.00,-1.00,0.0000
2,12,MatchedDeleteStatement,false,12.00,-1.00,0.0000
2,13,DeleteStatement,false,12.00,-1.00,0.0000
2,14,CopyStatement,false,12.00,-1.00,0.0000
2,15,ReplaceStatement,false,12.00,-1.00,0.0000
2,16,SwapStatement,false,12.00,-1.00,0.0000
2,17,MoveStatement,false,12.00,-1.00,0.0000
2,18,MatchedCopyStatement,true,12.00,13.00,0.9231
2,19,MatchedReplaceStatement,true,12.00,10.00,1.2000
2,20,MatchedSwapStatement,false,10.00,-1.00,0.0000
2,21,BinaryOperatorReplacement,true,10.00,10.00,1.0000
