MethodID,Step,Operator,Success,ParentRuntime(ms),ChildRuntime(ms),Reward
1,1,ReplaceStatement,false,3797.00,-1.00,0.0000
1,2,MatchedCopyStatement,false,3797.00,-1.00,0.0000
1,3,SwapStatement,false,3797.00,-1.00,0.0000
1,4,MatchedReplaceStatement,false,3797.00,-1.00,0.0000
1,5,UnaryOperatorReplacement,true,3797.00,3525.00,1.0772
1,6,DeleteStatement,false,3525.00,-1.00,0.0000
1,7,BinaryOperatorReplacement,true,3525.00,3310.00,1.0650
1,8,CopyStatement,false,3310.00,-1.00,0.0000
1,9,MoveStatement,true,3310.00,3112.00,1.0636
1,10,MatchedDeleteStatement,false,3112.00,-1.00,0.0000
1,11,MatchedSwapStatement,true,3112.00,3075.00,1.0120
1,12,UnaryOperatorReplacement,true,3075.00,3370.00,0.9125
1,13,BinaryOperatorReplacement,true,3075.00,3486.00,0.8821
1,14,MoveStatement,true,3075.00,3761.00,0.8176
1,15,MatchedSwapStatement,false,3075.00,-1.00,0.0000
1,16,UnaryOperatorReplacement,true,3075.00,3294.00,0.9335
1,17,BinaryOperatorReplacement,true,3075.00,3327.00,0.9243
1,18,MoveStatement,true,3075.00,2935.00,1.0477
1,19,DeleteStatement,true,2935.00,3230.00,0.9087
1,20,CopyStatement,true,2935.00,3340.00,0.8787
1,21,ReplaceStatement,true,2935.00,3764.00,0.7798
1,22,SwapStatement,false,2935.00,-1.00,0.0000
1,23,MatchedDeleteStatement,false,2935.00,-1.00,0.0000
1,24,MatchedCopyStatement,true,2935.00,3424.00,0.8572
1,25,MatchedReplaceStatement,false,2935.00,-1.00,0.0000
1,26,MoveStatement,true,2935.00,3468.00,0.8463
1,27,UnaryOperatorReplacement,true,2935.00,3272.00,0.8970
1,28,BinaryOperatorReplacement,true,2935.00,3197.00,0.9180
1,29,MatchedSwapStatement,false,2935.00,-1.00,0.0000
1,30,DeleteStatement,false,2935.00,-1.00,0.0000
1,31,CopyStatement,false,2935.00,-1.00,0.0000
1,32,MatchedCopyStatement,false,2935.00,-1.00,0.0000
1,33,UnaryOperatorReplacement,true,2935.00,3358.00,0.8740
1,34,BinaryOperatorReplacement,true,2935.00,3490.00,0.8410
1,35,MoveStatement,true,2935.00,3465.00,0.8470
1,36,ReplaceStatement,false,2935.00,-1.00,0.0000
1,37,UnaryOperatorReplacement,true,2935.00,3153.00,0.9309
1,38,BinaryOperatorReplacement,true,2935.00,3422.00,0.8577
1,39,MoveStatement,true,2935.00,3340.00,0.8787
1,40,UnaryOperatorReplacement,true,2935.00,3255.00,0.9017
1,41,MoveStatement,true,2935.00,3247.00,0.9039
1,42,BinaryOperatorReplacement,true,2935.00,3069.00,0.9563
1,43,UnaryOperatorReplacement,true,2935.00,3264.00,0.8992
1,44,BinaryOperatorReplacement,true,2935.00,3029.00,0.9690
1,45,MoveStatement,true,2935.00,2750.00,1.0673
1,46,SwapStatement,false,2750.00,-1.00,0.0000
1,47,MatchedDeleteStatement,false,2750.00,-1.00,0.0000
1,48,MatchedReplaceStatement,false,2750.00,-1.00,0.0000
1,49,MatchedSwapStatement,false,2750.00,-1.00,0.0000
1,50,MoveStatement,false,2750.00,-1.00,0.0000
1,51,DeleteStatement,false,2750.00,-1.00,0.0000
1,52,UnaryOperatorReplacement,true,2750.00,2934.00,0.9373
1,53,BinaryOperatorReplacement,true,2750.00,2884.00,0.9535
1,54,CopyStatement,false,2750.00,-1.00,0.0000
1,55,MatchedCopyStatement,false,2750.00,-1.00,0.0000
1,56,ReplaceStatement,false,2750.00,-1.00,0.0000
1,57,BinaryOperatorReplacement,true,2750.00,2958.00,0.9297
1,58,UnaryOperatorReplacement,true,2750.00,2766.00,0.9942
1,59,UnaryOperatorReplacement,true,2750.00,3233.00,0.8506
1,60,BinaryOperatorReplacement,true,2750.00,3169.00,0.8678
1,61,UnaryOperatorReplacement,true,2750.00,3135.00,0.8772
1,62,BinaryOperatorReplacement,false,2750.00,-1.00,0.0000
1,63,MoveStatement,false,2750.00,-1.00,0.0000
1,64,UnaryOperatorReplacement,true,2750.00,3101.00,0.8868
1,65,UnaryOperatorReplacement,true,2750.00,3070.00,0.8958
1,66,MatchedSwapStatement,false,2750.00,-1.00,0.0000
1,67,UnaryOperatorReplacement,true,2750.00,3153.00,0.8722
1,68,BinaryOperatorReplacement,true,2750.00,3080.00,0.8929
1,69,DeleteStatement,false,2750.00,-1.00,0.0000
1,70,SwapStatement,true,2750.00,2998.00,0.9173
1,71,SwapStatement,false,2750.00,-1.00,0.0000
1,72,MatchedDeleteStatement,false,2750.00,-1.00,0.0000
1,73,MatchedReplaceStatement,false,2750.00,-1.00,0.0000
1,74,CopyStatement,false,2750.00,-1.00,0.0000
1,75,MatchedCopyStatement,false,2750.00,-1.00,0.0000
1,76,MoveStatement,true,2750.00,2923.00,0.9408
1,77,UnaryOperatorReplacement,true,2750.00,2933.00,0.9376
1,78,ReplaceStatement,false,2750.00,-1.00,0.0000
1,79,BinaryOperatorReplacement,true,2750.00,3254.00,0.8451
1,80,UnaryOperatorReplacement,true,2750.00,3196.00,0.8605
1,81,MoveStatement,true,2750.00,2957.00,0.9300
1,82,BinaryOperatorReplacement,true,2750.00,3204.00,0.8583
1,83,MoveStatement,true,2750.00,3143.00,0.8750
1,84,UnaryOperatorReplacement,true,2750.00,3173.00,0.8667
1,85,BinaryOperatorReplacement,true,2750.00,3076.00,0.8940
1,86,UnaryOperatorReplacement,true,2750.00,3008.00,0.9142
1,87,MoveStatement,false,2750.00,-1.00,0.0000
1,88,BinaryOperatorReplacement,true,2750.00,3063.00,0.8978
1,89,UnaryOperatorReplacement,true,2750.00,3148.00,0.8736
1,90,BinaryOperatorReplacement,true,2750.00,3123.00,0.8806
1,91,UnaryOperatorReplacement,true,2750.00,3044.00,0.9034
1,92,BinaryOperatorReplacement,true,2750.00,3125.00,0.8800
1,93,UnaryOperatorReplacement,true,2750.00,2915.00,0.9434
1,94,UnaryOperatorReplacement,true,2750.00,2993.00,0.9188
1,95,MatchedSwapStatement,true,2750.00,3132.00,0.8780
1,96,BinaryOperatorReplacement,true,2750.00,3061.00,0.8984
1,97,MatchedSwapStatement,false,2750.00,-1.00,0.0000
1,98,UnaryOperatorReplacement,true,2750.00,3194.00,0.8610
1,99,MoveStatement,true,2750.00,3165.00,0.8689
2,1,MoveStatement,false,3910.00,-1.00,0.0000
2,2,MatchedReplaceStatement,false,3910.00,-1.00,0.0000
2,3,CopyStatement,false,3910.00,-1.00,0.0000
2,4,BinaryOperatorReplacement,true,3910.00,4077.00,0.9590
2,5,MatchedCopyStatement,false,3910.00,-1.00,0.0000
2,6,MatchedSwapStatement,false,3910.00,-1.00,0.0000
2,7,UnaryOperatorReplacement,true,3910.00,3755.00,1.0413
2,8,SwapStatement,true,3755.00,3862.00,0.9723
2,9,DeleteStatement,false,3755.00,-1.00,0.0000
2,10,ReplaceStatement,false,3755.00,-1.00,0.0000
2,11,MatchedDeleteStatement,false,3755.00,-1.00,0.0000
2,12,UnaryOperatorReplacement,true,3755.00,3806.00,0.9866
2,13,SwapStatement,true,3755.00,3868.00,0.9708
2,14,BinaryOperatorReplacement,true,3755.00,4193.00,0.8955
2,15,UnaryOperatorReplacement,true,3755.00,4134.00,0.9083
2,16,SwapStatement,false,3755.00,-1.00,0.0000
2,17,BinaryOperatorReplacement,true,3755.00,4165.00,0.9016
2,18,DeleteStatement,false,3755.00,-1.00,0.0000
2,19,CopyStatement,false,3755.00,-1.00,0.0000
2,20,ReplaceStatement,false,3755.00,-1.00,0.0000
2,21,MoveStatement,true,3755.00,4065.00,0.9237
2,22,MatchedDeleteStatement,false,3755.00,-1.00,0.0000
2,23,MatchedCopyStatement,false,3755.00,-1.00,0.0000
2,24,MatchedReplaceStatement,false,3755.00,-1.00,0.0000
2,25,MatchedSwapStatement,false,3755.00,-1.00,0.0000
2,26,UnaryOperatorReplacement,true,3755.00,4209.00,0.8921
2,27,BinaryOperatorReplacement,true,3755.00,3956.00,0.9492
2,28,MoveStatement,false,3755.00,-1.00,0.0000
2,29,UnaryOperatorReplacement,true,3755.00,4134.00,0.9083
2,30,BinaryOperatorReplacement,true,3755.00,4205.00,0.8930
2,31,SwapStatement,false,3755.00,-1.00,0.0000
2,32,UnaryOperatorReplacement,true,3755.00,4336.00,0.8660
2,33,BinaryOperatorReplacement,true,3755.00,4239.00,0.8858
2,34,UnaryOperatorReplacement,true,3755.00,4017.00,0.9348
2,35,BinaryOperatorReplacement,true,3755.00,3910.00,0.9604
2,36,UnaryOperatorReplacement,true,3755.00,4112.00,0.9132
2,37,BinaryOperatorReplacement,true,3755.00,4454.00,0.8431
2,38,DeleteStatement,false,3755.00,-1.00,0.0000
2,39,CopyStatement,false,3755.00,-1.00,0.0000
2,40,ReplaceStatement,false,3755.00,-1.00,0.0000
2,41,MatchedDeleteStatement,false,3755.00,-1.00,0.0000
2,42,MatchedCopyStatement,false,3755.00,-1.00,0.0000
2,43,MatchedReplaceStatement,false,3755.00,-1.00,0.0000
2,44,MatchedSwapStatement,false,3755.00,-1.00,0.0000
2,45,UnaryOperatorReplacement,true,3755.00,4050.00,0.9272
2,46,MoveStatement,true,3755.00,4029.00,0.9320
2,47,BinaryOperatorReplacement,true,3755.00,3926.00,0.9564
2,48,SwapStatement,true,3755.00,3938.00,0.9535
2,49,UnaryOperatorReplacement,true,3755.00,3962.00,0.9478
2,50,MoveStatement,true,3755.00,3865.00,0.9715
2,51,BinaryOperatorReplacement,true,3755.00,3794.00,0.9897
2,52,SwapStatement,false,3755.00,-1.00,0.0000
2,53,MoveStatement,true,3755.00,3844.00,0.9768
2,54,UnaryOperatorReplacement,true,3755.00,3680.00,1.0204
2,55,BinaryOperatorReplacement,true,3680.00,3601.00,1.0219
2,56,UnaryOperatorReplacement,true,3601.00,3688.00,0.9764
2,57,MoveStatement,false,3601.00,-1.00,0.0000
2,58,BinaryOperatorReplacement,true,3601.00,3562.00,1.0109
2,59,UnaryOperatorReplacement,true,3562.00,3631.00,0.9810
2,60,BinaryOperatorReplacement,true,3562.00,3646.00,0.9770
2,61,UnaryOperatorReplacement,true,3562.00,3644.00,0.9775
2,62,BinaryOperatorReplacement,true,3562.00,3663.00,0.9724
2,63,UnaryOperatorReplacement,true,3562.00,3881.00,0.9178
2,64,BinaryOperatorReplacement,true,3562.00,3940.00,0.9041
2,65,UnaryOperatorReplacement,true,3562.00,3891.00,0.9154
